date,krs_level_m,pet_mm,precip_mm,wind_mps,kudige_level_m,kmvadi_level_m,mhhalli_level_m
01-01-2014,749.917,4.372186576,0,3.95,811.32,766.24,838.17
02-01-2014,749.908,4.50229699,0,3.2,811.31,766.23,838.17
03-01-2014,749.899,4.433878456,0,3.25,811.31,766.18,838.14
04-01-2014,749.893,4.626180023,0,2.61,811.3,766.16,838.28
05-01-2014,749.89,4.792039728,0,1.88,811.3,766.16,838.34
06-01-2014,749.887,4.842568754,0,2.38,811.29,766.18,838.15
07-01-2014,749.89,4.872798722,0,3.19,811.29,766.16,838.1
08-01-2014,749.896,4.68798697,0,4.12,811.29,766.15,838.05
09-01-2014,749.908,4.665603237,0,3.07,811.28,766.14,838.02
10-01-2014,749.923,4.637641282,0,2.28,811.27,766.14,838.01
11-01-2014,749.911,4.662990393,0,2.45,811.26,766.13,838.01
12-01-2014,749.856,4.8200173,0,2.58,811.25,766.12,838.01
13-01-2014,749.795,4.811601613,0,2.95,811.24,766.06,838.01
14-01-2014,749.735,4.669673772,0,3.42,811.23,766.08,837.98
15-01-2014,749.658,4.724769121,0,2.6,811.23,766.08,837.99
16-01-2014,749.567,4.745251637,0,2.21,811.22,766.15,837.99
17-01-2014,749.491,4.13131217,0,2.79,811.22,766.14,837.98
18-01-2014,749.418,4.596663538,0,2.94,811.21,766.11,837.97
19-01-2014,749.344,4.842020281,0,4.05,811.2,766.09,837.97
20-01-2014,749.28,4.597766115,0,4.41,811.22,766.1,837.96
21-01-2014,749.118,4.65166827,0,4.22,811.21,766.09,837.99
22-01-2014,749.119,4.703246429,0,4.06,811.2,766.09,837.99
23-01-2014,749.037,4.907090796,0,3.04,811.19,766.08,838.02
24-01-2014,748.954,4.9729943,0,2.25,811.19,766.08,838.04
25-01-2014,748.869,4.766873097,0,3.9,811.18,766.07,838.03
26-01-2014,748.793,5.03429082,0,4.49,811.17,766.05,837.99
27-01-2014,748.716,4.759088714,0,4.63,811.16,766.06,837.99
28-01-2014,748.695,5.003790637,0,3.89,811.16,766.04,837.98
29-01-2014,748.695,5.069621984,0,2.93,811.15,766.02,837.98
30-01-2014,748.689,5.12423316,0,2.49,811.14,766,837.98
31-01-2014,748.68,5.228663867,0,3.01,811.14,766.02,837.98
01-02-2014,748.674,5.203239499,0,3.27,811.13,766.02,837.98
02-02-2014,748.665,5.174833313,0,4.01,811.12,766.03,838.06
03-02-2014,748.659,5.582549008,0,3.1,811.12,766.04,838.06
04-02-2014,748.652,5.639330322,0,2.19,811.11,766.02,837.98
05-02-2014,748.646,5.64727895,0,1.89,811.11,766.02,837.97
06-02-2014,748.637,5.83479443,0,2.64,811.1,766.02,837.97
07-02-2014,748.598,5.798975582,0,2.62,811.1,766.02,837.97
08-02-2014,748.518,5.73408766,0,2.01,811.09,766.02,837.98
09-02-2014,748.43,5.681167231,0,1.86,811.08,766.04,838.08
10-02-2014,748.339,5.66961879,0,0.89,811.08,766.02,838.1
11-02-2014,748.244,5.571095068,0,2.64,811.07,766.02,838.07
12-02-2014,748.137,5.361487268,0,2.28,811.07,766.01,838.06
13-02-2014,748.028,4.952257929,0,2.54,811.06,766.01,838.06
14-02-2014,747.915,5.219572261,0,1.86,811.05,766.01,838.07
15-02-2014,747.802,5.345924256,0,2.41,811.04,766,838.06
16-02-2014,747.689,5.370880162,0,2.7,811.03,766,838.03
17-02-2014,747.802,5.806193368,0,2.99,811.02,766,838.01
18-02-2014,747.458,5.167718963,0,4.14,811.02,766,838.02
19-02-2014,747.336,5.241856114,0,3.06,811.02,766,837.98
